Region,Province,Program Level,Discipline Group,2020-21,2021-22,2022-23,MajorRegion
01 - Ilocos Region,Ilocos Norte,Pre-baccalaureate,"Agriculture, Forestry, Fisheries and Veterinary",6,155,117,Luzon
01 - Ilocos Region,Ilocos Norte,Pre-baccalaureate,"Business, Administration and Law",0,0,0,Luzon
01 - Ilocos Region,Ilocos Norte,Pre-baccalaureate,"Engineering, Manufacturing and Construction",425,333,543,Luzon
01 - Ilocos Region,Ilocos Norte,Pre-baccalaureate,Health and Welfare,0,0,0,Luzon
01 - Ilocos Region,Ilocos Norte,Pre-baccalaureate,Information and Communication Technologies (Icts),0,0,0,Luzon
01 - Ilocos Region,Ilocos Norte,Pre-baccalaureate,Services,0,0,0,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,"Agriculture, Forestry, Fisheries and Veterinary",34,147,119,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,Arts and Humanities,29,31,44,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,"Business, Administration and Law",135,1035,800,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,Education,52,348,820,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,"Engineering, Manufacturing and Construction",334,721,1038,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,Generic Programmes and Qualifications,0,0,0,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,Health and Welfare,79,249,587,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,Information and Communication Technologies (Icts),34,120,156,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,"Natural Sciences, Mathematics and Statistics",80,144,151,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,Services,6,147,768,Luzon
01 - Ilocos Region,Ilocos Norte,Baccalaureate,"Social Sciences, Journalism and Information",64,343,501,Luzon
01 - Ilocos Region,Ilocos Norte,Post-baccalaureate,Education,0,0,0,Luzon
01 - Ilocos Region,Ilocos Norte,Master's,"Agriculture, Forestry, Fisheries and Veterinary",11,1,0,Luzon
